exonID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSMUSE00000710501,15.4738399,2.208430879,0.54604677,4.044398758,5.25E-05,0.00060456,Gm13642
ENSMUSE00000711082,37.28653815,1.19596011,0.395115837,3.02685946,0.002471088,0.01670968,Gm12188
ENSMUSE00000711232,40.97244548,0.896522549,0.385055669,2.328293336,0.019896533,0.089410561,Gm9311
ENSMUSE00000711248,9.875756366,2.273245529,0.97923237,2.321456683,0.020262209,0.090604224,Nmral1
ENSMUSE00000711512,10.43728729,2.532175964,0.751834493,3.367996531,0.000757165,0.006001405,Gm11198
ENSMUSE00000711531,5.815259522,3.605225173,1.124410781,3.206323912,0.001344426,0.00992326,Gm13407
ENSMUSE00000711763,27.0788341,0.96123818,0.487246154,1.972797881,0.048518595,0.174359583,Gm16210
ENSMUSE00000711922,5.121425233,6.19852449,1.455056964,4.259987507,2.04E-05,0.000267341,Gm12936
ENSMUSE00000712698,2.22754676,3.511208046,1.738799104,2.01932934,0.043453,0.161478317,Gm11594
ENSMUSE00000713120,14.09653659,1.616103158,0.601173596,2.688247068,0.007182823,0.039781018,Gm11517
ENSMUSE00000713262,9.516642469,3.125866818,0.767729741,4.071571874,4.67E-05,0.00054862,Gm13776
ENSMUSE00000713776,6.614644887,2.336682308,1.114419459,2.096770914,0.03601386,0.140334406,Gm15495
ENSMUSE00000713890,7.401851193,5.393098849,1.257604411,4.288390534,1.80E-05,0.000237959,Tmc4-ps
ENSMUSE00000714171,88.96690587,1.145903981,0.415028568,2.761024344,0.005762038,0.033468142,Gm13854
ENSMUSE00000714191,2.483561812,4.719258098,1.753902798,2.690718154,0.00712984,0.039542731,Gm15697
ENSMUSE00000714242,405.3572408,0.512081844,0.187709507,2.728054929,0.0063709,0.0362766,Tmed5
ENSMUSE00000715047,54.55922922,1.032150824,0.361687584,2.853708197,0.00432122,0.026264641,Gm15824
ENSMUSE00000715749,5.726952202,1.666162441,0.825681404,2.017924144,0.043599162,0.161805862,Gm15959
ENSMUSE00000716079,2.403469462,5.257225884,1.630124416,3.225045789,0.001259525,0.009375979,Gm13998
ENSMUSE00000716237,24.29727004,1.534515888,0.451752964,3.396803145,0.00068178,0.005458363,Gm12607
ENSMUSE00000716702,2.020763112,4.324474011,1.643213743,2.631717286,0.008495452,0.045506441,Gm14852
ENSMUSE00000716708,21.83243972,2.465002556,0.619391648,3.979715522,6.90E-05,0.000768197,Pcf11
ENSMUSE00000716933,5.094337707,2.633157342,0.873681791,3.013863136,0.002579441,0.017292564,Gm16179
ENSMUSE00000717572,2.975812372,3.03500917,1.274695884,2.380967264,0.017267246,0.079699615,Gm16017
ENSMUSE00000719345,1.443487829,3.53669652,1.77857719,1.988497626,0.046756681,1,Gm14620
ENSMUSE00000721174,1017.390004,0.895638113,0.293673243,3.049777718,0.002290108,0.015607583,Fbxl2
ENSMUSE00000721954,1.629220346,3.762080689,1.728919009,2.175972773,0.029557297,1,Gm14586
ENSMUSE00000722125,3.788219038,2.230556128,1.127718065,1.977937746,0.04793573,0.172786188,Gm12435
ENSMUSE00000722601,1.911344344,4.297732715,1.74179303,2.467418713,0.013609112,0.066173611,Gm23206
ENSMUSE00000723060,9.369578706,3.330028341,0.813128575,4.095328147,4.22E-05,0.000504741,Slc13a3
ENSMUSE00000723111,11.88649038,2.753506903,0.724747863,3.799261846,0.000145128,0.001452862,Gm16288
ENSMUSE00000723676,122.8567153,0.755023562,0.286023552,2.639725141,0.008297329,0.044686293,Gm15597
ENSMUSE00000723920,389.9811347,3.300888013,0.327229149,10.0873899,6.28E-24,1.39E-21,4930483K19Rik
ENSMUSE00000724079,59.99463839,1.736658966,0.330522395,5.254285317,1.49E-07,3.22E-06,Ppp1r18os
ENSMUSE00000725229,2.941654431,3.346253194,1.621671554,2.063459266,0.039069014,0.149367511,Arl16
ENSMUSE00000726139,126.7649728,1.002933603,0.42381683,2.366431752,0.017960485,0.082102781,Gm11788
ENSMUSE00000726899,321.3802274,0.89446437,0.33201679,2.694033548,0.007059306,0.039188029,Ptger4
ENSMUSE00000727113,19.36355748,0.901923052,0.408522788,2.20776681,0.027260533,0.114269785,Gm16305
ENSMUSE00000728958,1.029251426,5.079458195,2.10319846,2.415111219,0.015730406,1,Hemk1
ENSMUSE00000729678,30.03627816,1.281515064,0.511184472,2.506952253,0.012177716,0.060750892,Kif2a
ENSMUSE00000729981,29.49173355,4.874376383,0.612835339,7.95381087,1.81E-15,1.47E-13,Polg
ENSMUSE00000730388,2.043523323,3.571877124,1.628653247,2.193147701,0.028296739,0.117866802,Gm13584
ENSMUSE00000730529,400.6566038,1.541028001,0.191828826,8.033349505,9.48E-16,8.01E-14,Cdip1
ENSMUSE00000732691,25.38259574,3.114915333,0.608272431,5.120921441,3.04E-07,6.14E-06,Tmcc3os
ENSMUSE00000733987,30.99433379,2.655216773,0.504375596,5.264364086,1.41E-07,3.07E-06,Ndufab1
