name,KO_0h_rep1_dupr_R,KO_0h_rep2_dupr_R,KO_0h_rep3_dupr_R,KO_24h_rep1_dupr_R,KO_24h_rep2_dupr_R,KO_24h_rep3_dupr_R,KO_48h_rep1_dupr_R,KO_48h_rep2_dupr_R,KO_48h_rep3_dupr_R,KO_6h_rep1_dupr_R,KO_6h_rep2_dupr_R,WT_0h_rep1_dupr_R,WT_0h_rep2_dupr_R,WT_0h_rep3_dupr_R,WT_24h_rep1_dupr_R,WT_24h_rep2_dupr_R,WT_24h_rep3_dupr_R,WT_48h_rep1_dupr_R,WT_48h_rep2_dupr_R,WT_48h_rep3_dupr_R,WT_6h_rep1_dupr_R,WT_6h_rep2_dupr_R,WT_6h_rep3_dupr_R
ENSMUSE00000193046,5,0,2,2,1,0,2,0,0,9,7,5,0,2,0,0,0,1,1,0,10,0,1
ENSMUSE00000193137,2,2,0,1,2,1,4,1,0,3,10,1,2,0,1,1,0,1,1,1,3,0,1
ENSMUSE00000194619,31,23,31,70,191,155,48,96,79,109,37,49,22,42,99,138,133,66,153,141,76,69,85
ENSMUSE00000194670,202,82,191,4,0,0,2,0,1,5,2,416,32,364,0,0,0,2,0,1,4,0,1
ENSMUSE00000196633,8,1,0,5,1,1,6,1,1,20,5,17,4,2,2,0,1,3,0,0,15,4,3
ENSMUSE00000197233,285,91,178,82,264,168,243,278,121,363,42,506,50,212,112,107,100,216,364,169,233,154,208
ENSMUSE00000197587,457,531,371,329,713,617,660,793,502,891,104,362,358,335,444,397,427,422,664,467,553,362,754
ENSMUSE00000197690,5,2,2,0,3,1,7,10,3,8,1,6,1,4,0,0,0,2,6,1,5,2,2
ENSMUSE00000197777,380,268,325,155,522,333,400,315,221,396,104,477,199,416,206,259,308,278,342,245,367,262,461
ENSMUSE00000199998,18,1,2,10,1,3,14,1,1,41,16,29,4,2,3,1,3,7,4,1,37,4,7
ENSMUSE00000202789,38,57,25,1,4,3,6,9,7,7,2,49,61,32,1,0,10,4,2,8,2,2,1
ENSMUSE00000204143,15,0,0,10,2,1,7,0,0,20,8,13,1,1,1,1,0,0,2,0,19,1,1
ENSMUSE00000204770,12,2,1,4,0,0,8,1,0,14,12,6,1,6,0,1,1,1,0,0,18,2,1
ENSMUSE00000204917,45,28,13,27,101,38,73,109,67,18,7,88,24,14,22,16,26,66,127,79,25,13,15
ENSMUSE00000206676,66,22,54,1,0,1,1,2,2,2,2,164,30,87,0,0,1,1,2,1,11,1,1
